Detail URL,Title,Salary,Contract Type,Job Type,Location
https://www.reed.co.uk/jobs/applications-support-analyst-finance/52176708?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D47,Applications Support Analyst - Finance,"£35,000 - £37,000 per annum",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/senior-finance-analyst/52278211?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D48,Senior Finance Analyst,"£65,000 per annum",Contract,full-time,London South East England
https://www.reed.co.uk/jobs/business-analyst/52062369?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D49,Business Analyst,£430.00 per day,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/graduate-equity-analyst/51481539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D50,Graduate Equity Analyst ,"£28,000 - £30,000 per annum",Permanent,full-time,Birmingham West Midlands
https://www.reed.co.uk/jobs/business-systems-analyst/52071488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D51,Business Systems Analyst,£37.00 - £53.00 per hour,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/graduate-equity-analyst/51481536?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D52,Graduate Equity Analyst ,"£28,000 - £30,000 per annum",Permanent,full-time,Cardiff South Glamorgan
https://www.reed.co.uk/jobs/it-support-engineer/52026188?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D53,IT Support Engineer,"£25,000 - £30,000 per annum",Permanent,full-time,Chelmsford Essex
https://www.reed.co.uk/jobs/finance-business-analyst-sage-x3/52175286?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D54,Finance Business Analyst - Sage X3,"£56,000 - £84,000 per annum",Contract,full-time,Warrington Cheshire
https://www.reed.co.uk/jobs/analyst/52149616?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D55,Analyst ,Salary negotiable,Permanent,full-time,Southend-on-Sea Essex
https://www.reed.co.uk/jobs/finance-business-partner/52101563?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D56,Finance Business Partner,"£55,000 - £60,000 per annum",Contract,full-time,Basingstoke Hampshire
https://www.reed.co.uk/jobs/graduate-business-analyst-18m-ftc/52171813?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D57,Graduate Business Analyst - 18M FTC,"£32,000 per annum",Permanent,full-time,City of London London
https://www.reed.co.uk/jobs/help-desk-analyst/52176009?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D58,Help Desk Analyst,"£28,000 - £31,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/senior-project-programme-office-analyst/52161890?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D59,Senior Project / Programme Office Analyst,"£41,001 - £51,252 per annum",Permanent,full-time,Edinburgh Midlothian
https://www.reed.co.uk/jobs/internal-it-business-partner-kolding/52116472?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D60,Internal IT Business Partner - Kolding,"£55,703 - £83,555 per annum",Permanent,full-time,Denmark Denmark
